code,legacy,title,description,image_url,chef
172,7,朗清白灼广东菜心,“白灼”就是突出粤菜清淡的手法之一，菜心脆嫩，风味独特，营养丰富。,https://static.ak2.co/recipes/February2018/q82Qs40mURfEV9KZD2iJ.jpg,264
175,7,油泼辣椒及两种蘸水,碾制的辣椒粉，用熟油泼入，香味扑鼻。,https://static.ak2.co/recipes/February2018/l8pBVNBpVgkjwsZHibUs.jpg,30
176,7,宫保鸡丁,宫保鸡丁可能是知名度最高的中国菜之一，用料和调味家常。今天我们请火哥手把手教授做法。,https://static.ak2.co/recipes/February2018/VedOBxaCQ8UPiaFwrBx9.jpg,112
180,7,经典法式红酒炖鸡,法式经典名菜，浓郁红酒配上香嫩鸡肉，回味无穷。,https://static.ak2.co/recipes/February2018/2wZvsB0ihee1IlgIsPvB.jpg,184
181,7,朗清老母鸡姬松茸汤,老母鸡生长期长，鸡肉中所含的鲜味物质要比仔鸡多，另外，老母鸡中脂肪含量比较高，炖出的汤也更香一些。,https://static.ak2.co/recipes/February2018/3l6taG8YGgGl37tIntMD.jpg,264
187,7,奶油意面（不含煮面版）,香浓奶味配上咸味肉丁，回味无穷。,https://static.ak2.co/recipes/May2018/PNQ5gnaCb4GtP3K8WoEd.jpg,80
189,7,油面筋塞肉,饱满的面筋，满满一口家的味道。,https://static.ak2.co/recipes/February2018/kKssi7D4N8jVRRjy5onL.jpg,52
190,7,西芹白果虾仁,虾仁Q弹，西芹脆爽，白果软糯。,https://static.ak2.co/recipes/February2018/eyTdvnQfLI7ee6o3DkG8.jpg,52
191,7,五香兰花干,鲜咸甜香的五香兰花最下饭啦。,https://static.ak2.co/recipes/February2018/JI8SWcrZJeU9b7FWLsD4.jpg,52
192,7,浙南笋干炒肉丝,笋干入口韧滑，回味绵长。,https://static.ak2.co/recipes/February2018/7R7ALbJ4D68O5J3CjtzV.jpg,52
193,7,罗宋汤,独具海派特色，酸中带甜，鲜滑爽口。,https://static.ak2.co/recipes/February2018/yC25wKMl8C01qlWWHILu.jpg,52
194,7,本帮回锅臭豆腐,经典口味臭豆腐，勾起儿时的回忆。,https://static.ak2.co/recipes/February2018/lyZoBFDnTVQKORKGN3rc.jpg,52
208,7,宫爆虾仁,宫保家常菜，虾仁鲜嫩美味。,https://static.ak2.co/recipes/March2018/cYGPj92j1iEyPymfB3bR.jpg,52
209,7,杭椒西冷牛柳,嫩滑牛肉有嚼劲儿，杭椒微辣爽脆。,https://static.ak2.co/recipes/March2018/SkTusQC2e2YeX7R2IRv7.jpg,52
212,7,黑椒牛仔粒,黑椒和牛肉就是绝配，每颗牛肉粒上都沾满了黑椒酱汁，稍稍辣，让人胃口大开。,https://static.ak2.co/recipes/March2018/5OANLwL1mIiOZOLhEQrZ.jpg,52
213,7,特色面筋木耳（鱼面筋）,面筋软糯，木耳脆滑是一道营养美味的家常菜。,https://static.ak2.co/recipes/March2018/TKUjgTvpgKeBkEM9CqPA.jpg,52
214,7,泡菜饼,泡菜饼作为一道最简单速成的韩国小吃，只要面粉水加上泡菜，就能成为一道风味独特的美味。,https://static.ak2.co/recipes/March2018/KrEsIk17ZloxdkGnElGM.jpg,12
217,7,五彩鱼丁,菜色缤纷滋味满满。,https://static.ak2.co/recipes/March2018/GzKqH6wXsXSgivwB2JTe.jpg,52
219,7,治愈热巧克力,温暖身心的浓香热饮~,https://static.ak2.co/recipes/March2018/Jzv8klLgxyYr4vAG1KNK.jpg,23
220,7,部队锅,丰富的食材经过简单烹饪就能成为一锅幸福的滋味。,https://static.ak2.co/recipes/March2018/FtziuiAzyjLmLef5ugpk.jpg,12
223,7,手工XO酱,XO酱是酱料里的顶级调味品了，它所使用的都是上好的原材料，因此味道也是极鲜美的。,https://static.ak2.co/recipes/March2018/9B6GnmMm21knqgHgHTGj.jpg,14
224,7,XO酱炒饭,鲜香浓郁的XO酱是这道炒饭的灵魂。,https://static.ak2.co/recipes/March2018/sDsVheZKzd7hGnQ69b7y.jpg,14
225,7,咕咾肉,咕咾肉又称咕噜肉，是广东的一道特色传统名菜，属于粤菜，以甜酸汁及猪肉煮成。,https://static.ak2.co/recipes/March2018/7oGprp7JxFS0MDs45sSn.jpg,14
226,7,福建炒饭,福建炒饭制作简单，美味可口，是福建出名的美食系列之一。,https://static.ak2.co/recipes/March2018/bK1F89t8t8ASXvWy86zC.jpg,14
227,7,油爆虾,虾壳红艳松脆，若即若离，入口一触即脱，虾肉鲜嫩、略带甜酸，风味独特。,https://static.ak2.co/recipes/March2018/Aym3O1vSjh6g2hTKZsWc.jpg,14
228,7,老上海炸猪排,蘸着辣酱油吃的上海风味，炸猪排总是那么的吸引人。,https://static.ak2.co/recipes/March2018/gLZws2t5X45m3Thfd9Ru.jpg,14
230,7,匈牙利牛肉,匈牙利菜肴兼有东、西方饮食特色，在色、香、味上有其独到之处。,https://static.ak2.co/recipes/March2018/7mXcS4rCHoNHAj9GOyio.jpg,12
231,7,豉油皇炒面,豉油皇炒面是一道具有广东特色的著名小吃，酱香四溢，色泽黝黑明亮，面条爽滑弹牙。,https://static.ak2.co/recipes/March2018/osZiFRzVwmN6B4kXkhZz.jpg,14
232,7,排骨年糕,排骨年糕是上海地区一种经济实惠、独具风味的传统小吃，排骨色泽金黄，表面酥脆，肉质鲜嫩，年糕的软糯酥脆，十分可口。,https://static.ak2.co/recipes/March2018/Pu8txPFpDbWcLHC5ApIS.jpg,14
233,7,刀豆烧土豆,典型的上海家常菜，浓油赤酱，土豆软糯。,https://static.ak2.co/recipes/March2018/RpEhC5pkt0V30iXS57ex.jpg,14
234,7,奶油葡国鸡,葡国鸡算是澳门的代表菜之一，香味浓郁、鸡肉鲜嫩可口。,https://static.ak2.co/recipes/March2018/qhp7uTJnN2uWv7yKo7BA.jpg,12
235,7,红烧划水,菜品色泽红亮、卤汁稠浓、肥糯油润、肉滑鲜嫩。,https://static.ak2.co/recipes/March2018/1vrGYULRGUPulJcjDaHs.jpg,14
237,7,亲子丼,美味快手的日式料理。,https://static.ak2.co/recipes/March2018/6jj2BwnWOShn5igw3CFV.jpg,15
238,7,茭白肉丝,茭白被褒奖为“水中人参”，有“鲜、甜、嫩”的口感，无论切丝、切块、切片均可，与各种荤素菜肴搭配，是一种“全能”型蔬菜品种。,https://static.ak2.co/recipes/March2018/8CJypptOXgMqaq5XaLHp.jpg,14
239,7,目鱼大烤,目鱼大烤呈玫瑰色，肥而不腻，肉味鲜香，具有浓厚的宁波风味。,https://static.ak2.co/recipes/March2018/cAJ6mIiKODaahkFYgjE7.jpg,14
241,7,日式茄汁意面,Q弹的面条包裹着番茄酱，酸甜爽口，吃再多也不觉得腻。,https://static.ak2.co/recipes/March2018/gZQuCfBfU1RzoxE9v9ij.jpg,15
243,7,日式照烧鸡腿,方便简单又美味。,https://static.ak2.co/recipes/March2018/KyuSTT1AsivElXz5DvsA.jpg,15
245,7,肉末粉丝煲,肉末粉丝煲是一道美食。是家常菜谱之一，做法简单。,https://static.ak2.co/recipes/March2018/7qCHvLRNapDaJRlAwyr1.jpg,14
251,7,水浴牛排（厚1.5cm）,本食谱适用于厚度为 1.5cm 的牛排，烹饪前请务必先确认厚度！用水浴法长时间的低温慢煮 (Sous Vide) 让牛排更香嫩，同时牛排肉汁不流失。,https://static.ak2.co/recipes/April2018/S9GOYe1e0yShePfVuZGX.jpg,10
252,7,迷迭香煎羊排（厚1.5cm）,尝过慢煎的滋味，就会念念不忘。,https://static.ak2.co/recipes/March2018/4Tjf1wAkn6VJvWGwvgZa.jpg,12
253,7,迷迭香低温水浴羊排（厚1.5cm）,本食谱适用于厚度为 1.5cm 的羊排，烹饪前请务必先确认厚度！低温水浴的烹饪方式，可以完美的锁住食材的原味与汁水。,https://static.ak2.co/recipes/March2018/9lpbqmVQxFUS6HwcTCK0.jpg,12
254,7,火腿煎鸡排配奶油汁,这道菜记得要搭配葡萄酒和烛光哦。,https://static.ak2.co/recipes/March2018/6J0O2lGVNaO63YAfrKoE.jpg,12
255,7,日式慢焖猪梅肉,“梅肉”又叫“梅花肉”，有肥有瘦还有筋，可以说是猪身上最好最嫩的肉。,https://static.ak2.co/recipes/March2018/BX6bOtpjbtm4asirngXK.jpg,12
256,7,排骨焖饭,排骨与饭的完美结合。,https://static.ak2.co/recipes/March2018/jyDNxP5cUGLKKqsbrbRL.jpg,12
265,7,干炒牛河,河粉又称沙河粉，源自广州沙河镇，干炒牛河牛肉鲜嫩，河粉香滑。,https://static.ak2.co/recipes/March2018/PSKBbEKy5Vg3L4jC2tOb.jpg,14
269,7,糟溜鱼片,用香糟卤烹制出的鱼片，香郁鲜嫩，味美无比。,https://static.ak2.co/recipes/March2018/dlX52eql0IHOMltxvy6Z.jpg,14
271,7,荷塘小炒,藕片，荷兰豆，胡萝卜，一道赏心悦目的家常菜。,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/recipes/8NJG8JdBbD.jpg,52
272,7,牛肉糜蔬菜咖喱,妈妈美味快手菜，也适合上班族哦。,https://static.ak2.co/recipes/April2018/bARAPchnxi1dgV8Pn15A.jpg,15
273,7,葱香蛋炒饭（4至5人份）,你们要的多人份蛋炒饭来啦~~,https://static.ak2.co/recipes/April2018/vKmtaAcnZ6YvZAZbVpLL.jpg,14
274,7,海鲜粥,潮汕地区流行用海鲜和大米煮成浓稠鲜香的米粥来滋养身体。,https://static.ak2.co/recipes/April2018/Elb0e1LjEgktljPNyoKh.jpg,12
276,7,卤肉饭,油葱酥混合其他食材，卤肉肥而不腻，肉汁渗透进每一颗米粒，口感饱满丰盈。,https://static.ak2.co/recipes/April2018/wrpnX8W9Sff5B9JwKezQ.jpg,10
277,7,笼笼肉,"笼笼肉陕西独创的地方风味小吃,猪肉佐以辅料蒸成，色泽红亮，咸辣兼备，肥而不腻，营养实惠。",https://static.ak2.co/recipes/April2018/2LRLQ4rWVSc4aZNtQxgj.jpg,685
279,7,煎牛排（厚1cm）,本食谱适用于厚度为 1cm 的牛排，烹饪前请务必先确认厚度！,https://static.ak2.co/recipes/April2018/0vsGBWSoGgHqNi42UZHl.jpg,10
280,7,雪菜豆瓣酥,"蚕豆皮上长出黑色的眉毛,已经不适合清炒了，剥了皮烧咸菜豆瓣酥正好！",https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/recipes/4T7nJasdBz.jpg,14
281,7,蚕豆竹笋腊肉饭,用当季的时蔬做出的春天的味道！,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/recipes/pANayMFcCD.jpg,14
282,7,葱油蚕豆,鲜甜软绵的蚕豆可要趁早！,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/recipes/pYBMy2aRNS.jpg,14
283,7,低温慢煮蔬菜,低温慢煮出来的蔬菜鲜嫩翠绿，营养不流失。,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/recipes/YjfYmFxiK3.jpg,12
287,7,麻婆豆腐, 麻婆陈氏尚传名，豆腐烘来味最精。,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/recipes/F8bHs7yWf5.jpg,14
288,7,茶叶蛋,茶叶有提神醒脑的功能，在烫煮过程中加入少许茶叶，煮出来的鸡蛋色泽褐黄，风味独特。,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/recipes/M6FPQRnR62.jpg,14
289,7,泰式青咖喱鸡,炎炎夏日不妨来道东南亚风味的菜肴开胃解乏吧。,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/recipes/xhyPByCr56.jpg,657
290,7,虾酱空心菜,虾酱营养丰富，用清淡嫩口的空心菜与味重的虾酱一同拌炒，滋味鲜美且咸香味十足。,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/recipes/A6AT543sNX.jpg,14
292,7,四喜烤麸,是以生面筋为原料，呈褐黄色，多气孔有点像海绵，口感松软有弹性。,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/recipes/XHctmZDD4A.jpg,14
293,7,拌茄子,夏季必备快手菜谱。,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/recipes/zCiTet6XZ4.jpg,14
294,7,葱姜炒蛏子,简单美味的海鲜下酒菜。,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/recipes/YYKCnpGDSK.jpg,14
295,7,咸菜粉皮,好吃的家常菜。,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/recipes/YNMfxW8hH8.jpg,14
297,7,炒双菇,简单美味家常素食小炒。,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/recipes/w75mSBw3Cs.jpg,14
300,7,迷迭香低温水浴羊排（厚2cm）,本食谱适用于厚度为 2cm 的羊排，烹饪前请务必先确认厚度！低温水浴的烹饪方式，可以完美的锁住食材的原味与汁水。,https://static.ak2.co/recipes/April2018/oe8KuNJ3zbfkQn5lWHS0.jpg,12
301,7,茄汁排条,肉质细嫩，滋味鲜美，酸酸甜甜的味道特别的开胃。,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/recipes/24sjw8wrpN.jpg,14
302,7,八宝辣酱,八宝辣酱是上海地区传统名菜，色泽艳丽光亮，鲜辣辛香。,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/recipes/iB7kFQZTQz.jpg,14
303,7,白酒青口贝,香气浓郁，口感清爽。,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/recipes/enfpzPNmrh.jpg,12
310,7,肥牛寿喜烧,澳洲肥牛片搭配新鲜菇类，加入日式烧汁慢煮，食材与汤汁的味道融为一体，在家也可享受。,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/recipes/MKZaZenF3h.jpg,52
313,7,日式汉堡肉饼,用牛肉和猪肉混合而成的肉饼，汁水丰富。,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/recipes/ZyP8zF7AQX.jpg,657
314,7,培根炒什锦,精选优质食材，免洗免切。,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/recipes/wK8JHCWe22.jpg,52
